rank;title;url;release_date;points;months in top 100;average position in top 100
40;Takenoko;https://boardgamegeek.com/boardgame/70919/takenoko;2011;13.76931342431552;94;54.680851063829785
41;Roll for the Galaxy;https://boardgamegeek.com/boardgame/132531/roll-galaxy;2014;13.763045626951378;63;36.84126984126984
42;The Resistance;https://boardgamegeek.com/boardgame/41114/resistance;2009;13.436488347821301;69;33.63768115942029
43;Five Tribes;https://boardgamegeek.com/boardgame/157354/five-tribes;2014;12.920534703444588;67;41.014925373134325
44;Tzolk'in: The Mayan Calendar;https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar;2012;12.748516170360546;77;57.38961038961039
45;Citadels;https://boardgamegeek.com/boardgame/478/citadels;2000;12.497176946143602;74;42.945945945945944
46;Coup;https://boardgamegeek.com/boardgame/131357/coup;2012;12.414500055584371;67;48.37313432835821
47;Battlestar Galactica: The Board Game;https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game;2008;12.011631728944257;67;39.91044776119403
48;Twilight Struggle;https://boardgamegeek.com/boardgame/12333/twilight-struggle;2005;11.954286860095287;81;53.5679012345679
49;Concordia;https://boardgamegeek.com/boardgame/124361/concordia;2013;11.894974783741972;78;47.12820512820513
50;Sagrada;https://boardgamegeek.com/boardgame/199561/sagrada;2017;11.81956922387083;37;12.864864864864865
51;Android: Netrunner;https://boardgamegeek.com/boardgame/124742/android-netrunner;2012;11.199145563899576;48;33.520833333333336
52;Kingdom Builder;https://boardgamegeek.com/boardgame/107529/kingdom-builder;2011;10.615022883257382;62;50.12903225806452
53;Istanbul;https://boardgamegeek.com/boardgame/148949/istanbul;2014;10.451236672782837;67;47.71641791044776
54;6 nimmt!;https://boardgamegeek.com/boardgame/432/6-nimmt;1994;10.30668123213303;90;79.04444444444445
55;Great Western Trail;https://boardgamegeek.com/boardgame/193738/great-western-trail;2016;10.024357924720325;43;22.162790697674417
56;Machi Koro;https://boardgamegeek.com/boardgame/143884/machi-koro;2012;9.933380157981023;41;43.21951219512195
57;The Lord of the Rings: The Card Game;https://boardgamegeek.com/boardgame/77423/lord-rings-card-game;2011;9.599181790762545;63;55.12698412698413
58;Legendary: A Marvel Deck Building Game;https://boardgamegeek.com/boardgame/129437/legendary-marvel-deck-building-game;2012;9.282310302796496;66;56.04545454545455
59;Mysterium;https://boardgamegeek.com/boardgame/181304/mysterium;2015;9.023776469252583;51;44.19607843137255
60;Clank!: A Deck-Building Adventure;https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure;2016;8.854416815904026;42;26.952380952380953
61;Innovation;https://boardgamegeek.com/boardgame/63888/innovation;2010;8.66840963958941;50;41.0
62;Eclipse;https://boardgamegeek.com/boardgame/72125/eclipse;2011;8.606740112403;40;40.4
63;Arkham Horror;https://boardgamegeek.com/boardgame/15987/arkham-horror;2005;8.600668626214027;49;36.89795918367347
