objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Sushi Go Party!","192291","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135442","7.21655","7.37164","1.3249","286","75853","thing","Sushi Go Party!","2","8","20","20","20","2016","3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934633","6.86783","6.98056","1.1639","663","98692","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Taco Kitten Pizza","392491","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135993","5.52141","6.07321","1","19026","391","thing","Taco Kitten Pizza","2","6","5","5","5","2023","2,3,4,5,6","3,4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Take 5","432","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934350","6.85884","6.98589","1.1888","676","50705","thing","Take 5","2","10","45","45","45","1994","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko","70919","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934480","7.05612","7.19678","1.9743","443","78049","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135150","8.18256","8.33368","3.2728","9","160566","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"That's Not a Hat","375651","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135927","6.57732","6.98021","1.0515","1149","14910","thing","That's Not a Hat","3","8","15","15","15","2023","4,5,6,7,8","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone","53953","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865245","6.61005","6.89967","2.5039","1082","11403","thing","Thunderstone","1","5","60","60","60","2009","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone : Le pic du dragon","85897","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865246","6.44718","7.30562","2.6992","1455","4469","thing","Thunderstone: Dragonspire","1","5","45","45","45","2011","1,2,3,4","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Thunderstone : Légion de Doomgate","70940","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865250","6.27545","7.62251","2.7612","0","3797","thing","Thunderstone: Doomgate Legion","1","5","60","60","60","2010","1,2,3,4","2,3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Thunderstone: La Colère des Éléments","63214","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865248","6.40534","7.49329","2.6514","0","4687","thing","Thunderstone: Wrath of the Elements","1","5","45","45","45","2010","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Ticket to Ride: Europe","14996","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135162","7.39393","7.52309","1.9149","180","138802","thing","Ticket to Ride: Europe","2","5","60","60","30","2005","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TIME Stories Revolution: The Hadal Project","287742","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135409","5.90478","6.94907","2.5714","3849","4408","thing","TIME Stories Revolution: The Hadal Project","1","4","180","180","180","2020","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
